order_date,region,product,channel,units,unit_price,revenue,discount_pct,customer_rating
2026-06-13,East,Widget,Partner,25,120.0,2550.0,15,4.5
2026-06-01,South,Widget,Online,33,120.0,3960.0,0,4.0
2026-02-20,South,Gadget,Retail,7,299.5,2096.5,0,3.3
2026-03-13,West,Gadget,Retail,13,299.5,3893.5,0,3.2
2026-06-04,North,Widget,Partner,22,120.0,2508.0,5,3.6
2026-04-03,West,Widget,Online,25,120.0,2550.0,15,3.6
2026-03-01,East,Gizmo,Retail,6,449.0,2694.0,0,3.4
2026-06-24,East,Gadget,Partner,31,299.5,7891.82,15,3.9
2026-06-13,West,Doohickey,Online,27,65.25,1761.75,0,3.1
2026-05-26,North,Gadget,Partner,27,299.5,7682.17,5,4.8
2026-03-09,West,Gadget,Partner,15,299.5,4043.25,10,4.2
2026-02-05,South,Widget,Online,18,120.0,2160.0,0,3.3
2026-06-02,East,Gizmo,Retail,18,449.0,71791.49,0,4.7
2026-06-24,North,Doohickey,Online,21,65.25,1370.25,0,3.9
2026-07-04,North,Gadget,Partner,44,299.5,13178.0,0,4.0
2026-04-06,West,Widget,Partner,14,120.0,1680.0,0,3.2
2026-03-20,West,Widget,Online,38,120.0,4560.0,0,4.6
2026-05-17,West,Gadget,Partner,10,299.5,2845.25,5,3.3
2026-06-05,South,Gadget,Partner,27,299.5,6873.52,15,5.0
2026-04-23,South,Widget,Online,10,120.0,1200.0,0,
2026-05-22,West,Gadget,Online,36,299.5,10782.0,0,
2026-03-26,East,Gadget,Retail,27,299.5,6873.52,15,4.1
2026-05-27,South,Gadget,Retail,27,299.5,8086.5,0,3.7
2026-07-06,East,Widget,Online,23,120.0,2622.0,5,4.6
2026-02-19,West,Gizmo,Online,14,449.0,6286.0,0,3.2
2026-05-21,East,Widget,Partner,28,120.0,3024.0,10,4.9
2026-03-02,West,Gizmo,Retail,4,449.0,1796.0,0,3.0
2026-07-20,South,Doohickey,Retail,30,65.25,1663.88,15,5.0
2026-07-03,South,Gadget,Online,21,299.5,5660.55,10,3.1
2026-01-13,South,Gadget,Online,42,299.5,11321.1,10,3.4
2026-06-22,West,Gizmo,Online,37,449.0,14951.7,10,4.2
2026-05-30,North,Doohickey,Online,21,65.25,1164.71,15,3.5
2026-06-21,North,Gizmo,Retail,46,449.0,20654.0,0,5.0
2026-01-19,West,Doohickey,Online,10,65.25,652.5,0,4.8
2026-02-10,South,Doohickey,Partner,37,65.25,2172.83,10,
2026-03-18,East,Gadget,Retail,20,299.5,5990.0,0,4.5
2026-03-14,West,Doohickey,Online,15,65.25,880.88,10,4.8
2026-01-24,South,Doohickey,Online,3,65.25,195.75,0,3.3
2026-02-11,South,Gizmo,Partner,24,449.0,9159.6,15,4.1
2026-05-30,West,Gizmo,Online,25,449.0,11225.0,0,4.8
2026-01-11,North,Gadget,Partner,19,299.5,5121.45,10,3.8
2026-02-09,West,Gadget,Online,25,299.5,7113.12,5,
2026-03-27,South,Gadget,Retail,30,299.5,8535.75,5,4.7
2026-04-28,North,Doohickey,Online,35,65.25,2283.75,0,
